Order ID,Order Date,Customer Name,Category,Sub-Category,Sales,Profit,Quantity,Region,Is Repeat Customer,Order Year,Order Month,Order Month Name,Order Day of Week,Order Month-Year,Day Type
CA-2024-101004,2024-01-15,Nancy Ramirez,Electronics,Accessories,41.41,15.4,1,South,Yes,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-101132,2024-01-15,Ashley Robinson,Office Supplies,Storage,364.98,55.06,2,South,Yes,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-101540,2024-01-15,Donna Smith,Furniture,Bookcases,1089.19,62.47,2,East,Yes,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-101845,2024-01-15,Donna Smith,Office Supplies,Art,31.65,13.21,1,East,Yes,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-102711,2024-01-15,Karen Ramirez,Office Supplies,Binders,30.61,16.51,2,Central,Yes,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-102971,2024-01-15,Ashley Robinson,Office Supplies,Art,179.55,67.71,3,Central,Yes,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-100219,2024-01-16,Betty Anderson,Furniture,Chairs,654.26,77.33,2,Central,No,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-100491,2024-01-16,Karen Ramirez,Office Supplies,Storage,91.37,19.22,1,Central,Yes,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-101420,2024-01-16,Nancy Ramirez,Furniture,Furnishings,471.27,130.29,4,West,Yes,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-102071,2024-01-16,Michael Harris,Office Supplies,Binders,88.22,43.43,4,West,No,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-102170,2024-01-16,William Sanchez,Electronics,Laptops,1778.17,245.23,2,East,No,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-102584,2024-01-16,Ashley Robinson,Office Supplies,Storage,59.12,10.83,2,South,Yes,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-100321,2024-01-17,Ashley Robinson,Electronics,Smartwatches,598.74,143.83,2,West,Yes,2024,1,Jan,Wednesday,2024-01,Weekday
CA-2024-100379,2024-01-17,Karen Ramirez,Furniture,Chairs,1092.93,117.65,3,West,Yes,2024,1,Jan,Wednesday,2024-01,Weekday
CA-2024-100921,2024-01-17,Karen Ramirez,Electronics,Phones,868.46,164.12,1,East,Yes,2024,1,Jan,Wednesday,2024-01,Weekday
CA-2024-102798,2024-01-17,Ashley Robinson,Office Supplies,Binders,44.87,23.36,4,South,Yes,2024,1,Jan,Wednesday,2024-01,Weekday
CA-2024-100374,2024-01-18,Charles Robinson,Furniture,Tables,178.68,-13.55,1,West,Yes,2024,1,Jan,Thursday,2024-01,Weekday
CA-2024-102632,2024-01-18,Nancy Ramirez,Electronics,Phones,4012.35,467.26,5,East,Yes,2024,1,Jan,Thursday,2024-01,Weekday
CA-2024-100404,2024-01-19,Nancy Ramirez,Office Supplies,Storage,346.16,65.05,2,West,Yes,2024,1,Jan,Friday,2024-01,Weekday
CA-2024-100664,2024-01-19,Nancy Ramirez,Electronics,Smartwatches,134.85,20.32,1,West,Yes,2024,1,Jan,Friday,2024-01,Weekday
CA-2024-101065,2024-01-19,Ashley Robinson,Electronics,Accessories,66.06,23.97,2,East,Yes,2024,1,Jan,Friday,2024-01,Weekday
CA-2024-101417,2024-01-19,Karen Ramirez,Electronics,Accessories,99.11,38.76,1,Central,Yes,2024,1,Jan,Friday,2024-01,Weekday
CA-2024-102451,2024-01-19,Karen Ramirez,Electronics,Smartwatches,653.27,155.42,2,West,Yes,2024,1,Jan,Friday,2024-01,Weekday
CA-2024-102620,2024-01-19,Margaret Miller,Office Supplies,Binders,101.11,52.74,4,West,Yes,2024,1,Jan,Friday,2024-01,Weekday
CA-2024-101145,2024-01-20,John Lee,Office Supplies,Art,64.72,24.69,1,South,No,2024,1,Jan,Saturday,2024-01,Weekend
CA-2024-101442,2024-01-21,Ashley Robinson,Furniture,Chairs,831.9,39.38,3,Central,Yes,2024,1,Jan,Sunday,2024-01,Weekend
CA-2024-101182,2024-01-22,Ashley Robinson,Electronics,Accessories,388.24,138.87,4,East,Yes,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-102854,2024-01-22,Ashley Robinson,Office Supplies,Binders,11.67,6.2,1,West,Yes,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-102858,2024-01-22,Ashley Robinson,Electronics,Phones,876.29,140.95,1,Central,Yes,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-100819,2024-01-23,Ashley Robinson,Office Supplies,Storage,415.16,101.62,3,South,Yes,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-101729,2024-01-23,Karen Ramirez,Electronics,Smartwatches,417.98,63.68,1,West,Yes,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-102109,2024-01-23,Nancy Ramirez,Electronics,Smartwatches,124.96,19.18,1,South,Yes,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-102886,2024-01-23,Ashley Robinson,Office Supplies,Storage,325.91,57.6,3,Central,Yes,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-100579,2024-01-24,Karen Ramirez,Office Supplies,Binders,24.63,12.76,1,West,Yes,2024,1,Jan,Wednesday,2024-01,Weekday
CA-2024-101661,2024-01-24,Sandra Rodriguez,Electronics,Phones,847.18,94.89,1,South,Yes,2024,1,Jan,Wednesday,2024-01,Weekday
CA-2024-101907,2024-01-24,Karen Ramirez,Office Supplies,Binders,13.86,6.63,2,West,Yes,2024,1,Jan,Wednesday,2024-01,Weekday
CA-2024-102773,2024-01-24,Karen Ramirez,Electronics,Accessories,33.92,13.02,1,East,Yes,2024,1,Jan,Wednesday,2024-01,Weekday
CA-2024-100670,2024-01-25,Ashley Robinson,Electronics,Laptops,5425.71,764.48,5,West,Yes,2024,1,Jan,Thursday,2024-01,Weekday
CA-2024-100992,2024-01-25,Ashley Robinson,Electronics,Accessories,73.81,24.51,2,West,Yes,2024,1,Jan,Thursday,2024-01,Weekday
CA-2024-102248,2024-01-25,Karen Ramirez,Furniture,Bookcases,436.56,16.03,1,East,Yes,2024,1,Jan,Thursday,2024-01,Weekday
CA-2024-102404,2024-01-25,Ashley Robinson,Electronics,Laptops,528.1,62.06,1,Central,Yes,2024,1,Jan,Thursday,2024-01,Weekday
CA-2024-102989,2024-01-25,Ashley Robinson,Office Supplies,Paper,34.93,16.7,2,West,Yes,2024,1,Jan,Thursday,2024-01,Weekday
CA-2024-100213,2024-01-26,Donna Smith,Furniture,Furnishings,284.81,71.14,4,South,Yes,2024,1,Jan,Friday,2024-01,Weekday
CA-2024-100648,2024-01-26,Ashley Robinson,Office Supplies,Paper,23.54,9.91,1,West,Yes,2024,1,Jan,Friday,2024-01,Weekday
CA-2024-102694,2024-01-26,Nancy Ramirez,Office Supplies,Paper,24.37,9.76,1,South,Yes,2024,1,Jan,Friday,2024-01,Weekday
CA-2024-100680,2024-01-27,Ashley Robinson,Office Supplies,Paper,127.85,60.32,4,South,Yes,2024,1,Jan,Saturday,2024-01,Weekend
CA-2024-101736,2024-01-27,Ashley Robinson,Furniture,Tables,1994.51,-18.5,2,South,Yes,2024,1,Jan,Saturday,2024-01,Weekend
CA-2024-102095,2024-01-27,Nancy Ramirez,Electronics,Laptops,2709.28,393.64,1,West,Yes,2024,1,Jan,Saturday,2024-01,Weekend
CA-2024-100656,2024-01-28,Karen Ramirez,Electronics,Phones,553.26,61.87,1,South,Yes,2024,1,Jan,Sunday,2024-01,Weekend
CA-2024-101811,2024-01-28,Nancy Ramirez,Furniture,Tables,1537.2,-16.05,2,West,Yes,2024,1,Jan,Sunday,2024-01,Weekend
CA-2024-100510,2024-01-29,Ashley Robinson,Furniture,Furnishings,61.52,16.61,2,West,Yes,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-101052,2024-01-29,Nancy Ramirez,Office Supplies,Binders,19.95,10.59,1,South,Yes,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-102193,2024-01-29,Ashley Robinson,Furniture,Tables,669.14,-40.28,1,Central,Yes,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-102415,2024-01-29,Ashley Robinson,Furniture,Chairs,324.03,41.12,1,South,Yes,2024,1,Jan,Monday,2024-01,Weekday
CA-2024-101134,2024-01-30,Karen Ramirez,Furniture,Furnishings,98.29,21.18,1,East,Yes,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-101461,2024-01-30,Sandra Rodriguez,Electronics,Phones,584.71,105.54,1,West,Yes,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-101521,2024-01-30,Ashley Robinson,Furniture,Chairs,225.32,20.23,1,East,Yes,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-102359,2024-01-30,Ashley Robinson,Electronics,Laptops,2382.94,402.01,2,East,Yes,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-102931,2024-01-30,Nancy Ramirez,Office Supplies,Binders,115.93,58.63,5,West,Yes,2024,1,Jan,Tuesday,2024-01,Weekday
CA-2024-100893,2024-01-31,Ashley Robinson,Electronics,Smartwatches,569.4,134.31,2,West,Yes,2024,1,Jan,Wednesday,2024-01,Weekday
CA-2024-101501,2024-01-31,Nancy Ramirez,Electronics,Phones,219.85,37.6,1,Central,Yes,2024,1,Jan,Wednesday,2024-01,Weekday
CA-2024-102068,2024-01-31,Karen Ramirez,Electronics,Smartwatches,1582.91,389.27,4,West,Yes,2024,1,Jan,Wednesday,2024-01,Weekday
CA-2024-102320,2024-01-31,Margaret Miller,Office Supplies,Binders,81.17,41.47,4,West,Yes,2024,1,Jan,Wednesday,2024-01,Weekday
CA-2024-100424,2024-02-01,Ashley Robinson,Furniture,Bookcases,686.62,38.42,2,South,Yes,2024,2,Feb,Thursday,2024-02,Weekday
CA-2024-100733,2024-02-01,Ashley Robinson,Electronics,Phones,782.93,146.85,2,East,Yes,2024,2,Feb,Thursday,2024-02,Weekday
CA-2024-101056,2024-02-01,Ashley Robinson,Office Supplies,Art,34.82,13.86,1,East,Yes,2024,2,Feb,Thursday,2024-02,Weekday
CA-2024-101416,2024-02-01,Karen Ramirez,Office Supplies,Binders,2.43,1.31,1,South,Yes,2024,2,Feb,Thursday,2024-02,Weekday
CA-2024-101710,2024-02-01,Ashley Robinson,Office Supplies,Storage,272.77,54.96,2,West,Yes,2024,2,Feb,Thursday,2024-02,Weekday
CA-2024-101903,2024-02-02,Karen Ramirez,Electronics,Laptops,3713.73,625.65,3,East,Yes,2024,2,Feb,Friday,2024-02,Weekday
CA-2024-102190,2024-02-02,James Jackson,Electronics,Phones,2498.83,486.32,4,South,No,2024,2,Feb,Friday,2024-02,Weekday
CA-2024-102471,2024-02-02,Ashley Robinson,Office Supplies,Paper,28.72,13.45,1,East,Yes,2024,2,Feb,Friday,2024-02,Weekday
CA-2024-100486,2024-02-03,Karen Ramirez,Office Supplies,Paper,23.04,9.5,1,East,Yes,2024,2,Feb,Saturday,2024-02,Weekend
CA-2024-102048,2024-02-03,Richard Clark,Electronics,Phones,2691.83,396.79,2,West,No,2024,2,Feb,Saturday,2024-02,Weekend
CA-2024-100557,2024-02-04,Ashley Robinson,Electronics,Phones,763.88,100.53,1,South,Yes,2024,2,Feb,Sunday,2024-02,Weekend
CA-2024-101281,2024-02-04,Donna Smith,Furniture,Chairs,822.17,64.01,2,West,Yes,2024,2,Feb,Sunday,2024-02,Weekend
CA-2024-102050,2024-02-04,Karen Ramirez,Office Supplies,Paper,69.52,31.69,2,East,Yes,2024,2,Feb,Sunday,2024-02,Weekend
CA-2024-100145,2024-02-05,Karen Ramirez,Office Supplies,Storage,118.26,25.04,1,East,Yes,2024,2,Feb,Monday,2024-02,Weekday
CA-2024-101357,2024-02-05,Michael Harris,Furniture,Chairs,313.25,37.23,1,Central,Yes,2024,2,Feb,Monday,2024-02,Weekday
CA-2024-101627,2024-02-05,Karen Ramirez,Furniture,Tables,1761.56,-123.0,5,West,Yes,2024,2,Feb,Monday,2024-02,Weekday
CA-2024-101670,2024-02-05,Karen Ramirez,Electronics,Laptops,4542.37,615.46,5,West,Yes,2024,2,Feb,Monday,2024-02,Weekday
CA-2024-102280,2024-02-05,Nancy Ramirez,Office Supplies,Paper,40.97,18.34,1,West,Yes,2024,2,Feb,Monday,2024-02,Weekday
CA-2024-102728,2024-02-05,Karen Ramirez,Furniture,Bookcases,268.87,8.63,1,Central,Yes,2024,2,Feb,Monday,2024-02,Weekday
CA-2024-102996,2024-02-05,John White,Office Supplies,Binders,2.26,1.02,1,East,Yes,2024,2,Feb,Monday,2024-02,Weekday
CA-2024-101312,2024-02-06,Nancy Ramirez,Electronics,Phones,1291.5,221.13,3,Central,Yes,2024,2,Feb,Tuesday,2024-02,Weekday
CA-2024-101331,2024-02-06,Ashley Robinson,Office Supplies,Storage,209.43,47.39,1,South,Yes,2024,2,Feb,Tuesday,2024-02,Weekday
CA-2024-101534,2024-02-06,Karen Ramirez,Electronics,Phones,758.24,138.88,2,East,Yes,2024,2,Feb,Tuesday,2024-02,Weekday
CA-2024-102667,2024-02-06,Karen Ramirez,Office Supplies,Storage,70.5,16.22,2,South,Yes,2024,2,Feb,Tuesday,2024-02,Weekday
CA-2024-100425,2024-02-07,Ashley Robinson,Furniture,Bookcases,549.84,22.88,1,West,Yes,2024,2,Feb,Wednesday,2024-02,Weekday
CA-2024-102251,2024-02-07,Emily Davis,Furniture,Furnishings,110.76,30.87,1,Central,No,2024,2,Feb,Wednesday,2024-02,Weekday
CA-2024-101553,2024-02-08,Karen Ramirez,Office Supplies,Binders,64.16,34.08,4,South,Yes,2024,2,Feb,Thursday,2024-02,Weekday
CA-2024-101629,2024-02-08,Ashley Robinson,Office Supplies,Binders,8.28,4.38,2,West,Yes,2024,2,Feb,Thursday,2024-02,Weekday
CA-2024-102508,2024-02-08,Karen Ramirez,Electronics,Phones,1518.86,268.47,2,West,Yes,2024,2,Feb,Thursday,2024-02,Weekday
CA-2024-100081,2024-02-09,Ashley Robinson,Furniture,Chairs,773.4,42.17,2,West,Yes,2024,2,Feb,Friday,2024-02,Weekday
CA-2024-100647,2024-02-09,Nancy Ramirez,Electronics,Accessories,102.97,33.22,3,East,Yes,2024,2,Feb,Friday,2024-02,Weekday
CA-2024-101181,2024-02-09,Karen Ramirez,Office Supplies,Paper,31.94,15.53,2,East,Yes,2024,2,Feb,Friday,2024-02,Weekday
CA-2024-101568,2024-02-09,Karen Ramirez,Electronics,Laptops,2392.6,361.98,3,East,Yes,2024,2,Feb,Friday,2024-02,Weekday
CA-2024-102540,2024-02-10,Ashley Robinson,Office Supplies,Art,158.56,57.87,2,South,Yes,2024,2,Feb,Saturday,2024-02,Weekend
CA-2024-102913,2024-02-10,Karen Ramirez,Office Supplies,Art,104.51,45.47,1,West,Yes,2024,2,Feb,Saturday,2024-02,Weekend
CA-2024-100155,2024-02-11,Donna Smith,Office Supplies,Binders,131.83,69.74,4,West,Yes,2024,2,Feb,Sunday,2024-02,Weekend
CA-2024-100439,2024-02-11,Nancy Ramirez,Office Supplies,Storage,222.3,52.38,1,South,Yes,2024,2,Feb,Sunday,2024-02,Weekend
CA-2024-100665,2024-02-11,William Williams,Electronics,Laptops,5303.82,397.88,3,West,No,2024,2,Feb,Sunday,2024-02,Weekend
CA-2024-102769,2024-02-11,Ashley Robinson,Office Supplies,Storage,434.54,92.82,2,West,Yes,2024,2,Feb,Sunday,2024-02,Weekend
CA-2024-102837,2024-02-11,Karen Ramirez,Electronics,Smartwatches,564.87,100.26,2,South,Yes,2024,2,Feb,Sunday,2024-02,Weekend
CA-2024-100173,2024-02-12,Ashley Robinson,Office Supplies,Storage,179.65,33.29,5,West,Yes,2024,2,Feb,Monday,2024-02,Weekday
CA-2024-100901,2024-02-12,Nancy Ramirez,Electronics,Smartwatches,732.53,131.33,2,East,Yes,2024,2,Feb,Monday,2024-02,Weekday
CA-2024-101153,2024-02-12,Karen Ramirez,Furniture,Furnishings,32.44,8.87,1,East,Yes,2024,2,Feb,Monday,2024-02,Weekday
CA-2024-101421,2024-02-12,Ashley Robinson,Office Supplies,Art,48.44,20.28,2,East,Yes,2024,2,Feb,Monday,2024-02,Weekday
CA-2024-102976,2024-02-12,Karen Ramirez,Office Supplies,Art,82.1,33.13,1,West,Yes,2024,2,Feb,Monday,2024-02,Weekday
CA-2024-100662,2024-02-13,Karen Ramirez,Office Supplies,Paper,21.53,9.48,3,East,Yes,2024,2,Feb,Tuesday,2024-02,Weekday
CA-2024-101150,2024-02-13,Ashley Robinson,Office Supplies,Paper,74.42,35.18,2,West,Yes,2024,2,Feb,Tuesday,2024-02,Weekday
CA-2024-102952,2024-02-13,Ashley Robinson,Electronics,Smartwatches,714.09,171.73,4,Central,Yes,2024,2,Feb,Tuesday,2024-02,Weekday
CA-2024-100280,2024-02-14,Ashley Robinson,Furniture,Furnishings,115.99,26.01,1,West,Yes,2024,2,Feb,Wednesday,2024-02,Weekday
CA-2024-100413,2024-02-14,Ashley Robinson,Office Supplies,Storage,211.46,52.81,1,West,Yes,2024,2,Feb,Wednesday,2024-02,Weekday
CA-2024-100602,2024-02-14,Karen Ramirez,Office Supplies,Paper,192.24,77.72,5,East,Yes,2024,2,Feb,Wednesday,2024-02,Weekday
CA-2024-100832,2024-02-14,Donna Smith,Electronics,Accessories,343.18,118.37,3,Central,Yes,2024,2,Feb,Wednesday,2024-02,Weekday
CA-2024-102909,2024-02-14,Charles Robinson,Office Supplies,Storage,496.42,104.51,5,West,Yes,2024,2,Feb,Wednesday,2024-02,Weekday
CA-2024-100706,2024-02-15,Michael Harris,Electronics,Accessories,165.73,60.49,2,Central,Yes,2024,2,Feb,Thursday,2024-02,Weekday
CA-2024-100226,2024-02-16,Karen Ramirez,Office Supplies,Art,79.38,30.48,1,Central,Yes,2024,2,Feb,Friday,2024-02,Weekday
CA-2024-100475,2024-02-16,David Ramirez,Office Supplies,Paper,10.61,5.05,1,East,Yes,2024,2,Feb,Friday,2024-02,Weekday
CA-2024-100711,2024-02-16,Ashley Robinson,Furniture,Bookcases,1526.75,76.5,4,West,Yes,2024,2,Feb,Friday,2024-02,Weekday
CA-2024-100741,2024-02-16,Ashley Robinson,Furniture,Tables,440.84,-0.72,1,South,Yes,2024,2,Feb,Friday,2024-02,Weekday
CA-2024-101324,2024-02-16,Nancy Ramirez,Office Supplies,Art,102.99,42.91,3,West,Yes,2024,2,Feb,Friday,2024-02,Weekday
CA-2024-102177,2024-02-16,Margaret Miller,Office Supplies,Art,71.57,30.18,1,South,Yes,2024,2,Feb,Friday,2024-02,Weekday
CA-2024-101874,2024-02-17,Ashley Robinson,Office Supplies,Paper,171.58,73.53,5,Central,Yes,2024,2,Feb,Saturday,2024-02,Weekend
CA-2024-100140,2024-02-18,Karen Ramirez,Office Supplies,Binders,96.62,51.3,4,South,Yes,2024,2,Feb,Sunday,2024-02,Weekend
CA-2024-100199,2024-02-18,Nancy Ramirez,Office Supplies,Art,22.29,8.91,1,West,Yes,2024,2,Feb,Sunday,2024-02,Weekend
CA-2024-100709,2024-02-18,William Sanchez,Office Supplies,Storage,200.67,43.39,1,West,Yes,2024,2,Feb,Sunday,2024-02,Weekend
CA-2024-100725,2024-02-18,Ashley Robinson,Electronics,Accessories,98.79,35.03,2,East,Yes,2024,2,Feb,Sunday,2024-02,Weekend
CA-2024-100836,2024-02-18,Ashley Robinson,Electronics,Smartwatches,286.51,70.57,1,South,Yes,2024,2,Feb,Sunday,2024-02,Weekend
CA-2024-101525,2024-02-18,Karen Ramirez,Office Supplies,Art,29.81,12.69,1,East,Yes,2024,2,Feb,Sunday,2024-02,Weekend
CA-2024-101872,2024-02-18,Nancy Ramirez,Electronics,Accessories,303.86,95.05,2,West,Yes,2024,2,Feb,Sunday,2024-02,Weekend
CA-2024-101378,2024-02-19,John Lee,Office Supplies,Storage,207.99,34.15,1,South,Yes,2024,2,Feb,Monday,2024-02,Weekday
